"id","步骤描述（目前不做手套）","步骤类型 （暂时不配表，与 RecordStepType 对应 更换的记录可以配置成安装类型，所有安装的记录都是安装上一个未损坏的物品","步骤参数（逗号分割）"
"217","用中号棘轮扳手、中号接杆和10号套筒拆卸发动机前盖螺栓（数量：16）","1","204_2_0,204_2_1,204_2_2,204_2_3,204_2_4,204_2_5,204_2_6,204_2_7,204_2_8,204_2_9,204_2_10,204_2_11,204_2_12,204_2_13,204_2_14,204_2_15"
,,,
"219","拆下发动机前盖","1","204_4"
,,"1",
"220","拆卸正时链：用中号棘轮扳手、中号接杆和10号套筒拆卸正时链条导板-气缸盖螺栓（数量：2）","1","205_1_0,205_1_1"
"221","取下正时链条导板","1","205_0"
"222","用中号棘轮扳手、中号接杆和10号套筒拆卸正时链条张紧器螺栓（数量：2）","1","205_2_0,205_2_1"
"223","取下正时链条张紧器总成、取下正时链条张紧器衬垫","1","205_3,205_4"
"224","用中号棘轮扳手、中号接杆和12号套筒拆卸正时链条导板-排气侧螺栓（数量：1）","1","205_5_0"
"225","取下正时链条导板-进气侧","1","205_6"
"226","用中号棘轮扳手、中号接杆和10号套筒正时链条导板-排气侧螺栓（数量：2）","1","205_7_0,205_7_1"
"227","取下正时链条导板-排气侧","1","205_8"
"228","取下正时链条","1","205_9"
,,"1",
"229","安装EN-51367凸轮轴锁止工具","2","206_3"
"230","用中号棘轮扳手、12号套筒分别拆卸进气和排气凸轮轴位置执行器螺栓，注意：拆下螺栓需报废，更换新螺栓","1","206_0_0,206_0_1"
"231","取下进气和排气凸轮轴位置执行器","1","206_1,206_2"
"232","取下EN-51367凸轮轴锁止工具","1","206_3"
,,"1",
"301","拆卸进气凸轮轴：用中号棘轮扳手、中号接杆和10号套筒分两次次预松螺栓（数量：10）；按从两边向中间的顺序将每个螺栓先松开180°角，以减小间隙弹簧压力，再完成松开。","1","301_0_0,301_0_1,301_0_2,301_0_3,301_0_4,301_0_5,301_0_6,301_0_7,301_0_8,301_0_9"
"302","取下进气凸轮轴轴承盖","1","301_1_4"
"303","取下进气凸轮轴总成","1","301_2"
,,"1",
"304","拆卸排气凸轮轴：用中号棘轮扳手、中号接杆和10号套筒分两次次预松螺栓（数量：10）；按从两边向中间的顺序将每个螺栓先松开180°角，以减小间隙弹簧压力，再完成松开。","1","301_3_0,301_3_1,301_3_2,301_3_3,301_3_4,301_3_5,301_3_6,301_3_7,301_3_8,301_3_9"
"305","取下排气凸轮轴轴承盖","1","301_4_4"
"306","取下排气凸轮轴总成","1","301_5"
,,"1",
"307","取下气门摇臂，做好标记，按照气缸1到气缸4的顺序摆放","1","307_0"
"308","取下间隙调节器，做好标记，按照气缸1到气缸4的顺序摆放","1","308_0"
,,,
"310","取下进气凸轮轴轴承盖","1","301_1_3"
"311","取下进气凸轮轴轴承盖","1","301_1_2"
"312","取下进气凸轮轴轴承盖","1","301_1_0"
"313","取下进气凸轮轴轴承盖","1","301_1_1"
,,,
"314","取下排气凸轮轴轴承盖","1","301_4_3"
"315","取下排气凸轮轴轴承盖","1","301_4_2"
"316","取下排气凸轮轴轴承盖","1","301_4_0"
"317","取下排气凸轮轴轴承盖","1","301_4_1"
,,,
,,,
"401","拆卸气缸盖：用大号棘轮扳手、大号接杆和M10套筒以每次 1/3 圈角度从两边到中间的方式拆卸螺栓，直到螺栓完全松出为止，取出螺栓。","1","401_0_0,401_0_1,401_0_2,401_0_3,401_0_4,401_0_5,401_0_6,401_0_7,401_0_8,401_0_9"
"402","取下气缸盖和气缸垫","1","401_1,401_2"
,,"1",
"501","拆卸油底壳：用中号棘轮扳手、中号接杆和10号套筒拆卸下油底壳螺栓（数量：12）","1","501_0_0,501_0_1,501_0_2,501_0_3,501_0_4,501_0_5,501_0_6,501_0_7,501_0_8,501_0_9,501_0_10,501_0_11"
"502","取下下油底壳 ","1","501_1"
"503","用中号棘轮扳手、中号接杆和10号套筒拆下油底壳长螺栓（数量：2）与油底壳短螺栓（数量：12）","1","501_2_0,501_2_1,501_3_0,501_3_1,501_4_0,501_4_1,501_4_2,501_4_3,501_4_4,501_4_5,501_4_6,501_4_7,501_4_8"
"504","取下上油底壳总成","1","501_5"
,,"1",
"505","取下机油泵传动链条","1","502_0"
"506","用中号棘轮扳手、中号接杆和10号套筒拆卸机油泵总成螺栓3（数量：4）","1","502_1_0,502_1_1,502_1_2,502_1_3"
"507","取出机油泵总成","1","502_2"
,,"1",
"508","用中号棘轮扳手、中号接杆和10号套筒拆卸曲轴机油导流板螺栓（数量：4）","1","503_0_0,503_0_1,503_0_2,503_0_3"
"509","取下曲轴机油导流板","1","503_1"
,,"1",
"601","用中号棘轮扳手、中号接杆和12号套筒拆卸1缸和4缸连杆轴承盖螺栓，取出螺栓","1","601_2_4,601_2_5,601_2_6,601_2_7"
"602","取下1缸连杆轴承盖","1","601_1_2"
"603","用中号棘轮扳手、中号接杆和12号套筒拆卸2缸和3缸连杆轴承盖螺栓，取出螺栓","1","601_2_0,601_2_1,601_2_2,601_2_3"
"604","取下2缸连杆轴承盖","1","601_1_0"
,,,
"605","取下4缸连杆轴承盖","1","601_1_3"
"606","取下3缸连杆轴承盖","1","601_1_1"
"607","拆卸1缸活塞连杆","1","601_0_2"
"608","拆卸4缸活塞连杆","1","601_0_3"
"609","拆卸2缸活塞连杆","1","601_0_0"
"610","拆卸3缸活塞连杆","1","601_0_1"
,,,
,,,
"701","用固定工具固定住自动变速器绕行盘的齿圈","2","701_1"
"702","用大号扳手、M10套筒以对角交错的方式拆卸自动变速器绕行盘螺栓（数量：8）","1","701_2_0,701_2_1,701_2_2,701_2_3,701_2_4,701_2_5,701_2_6,701_2_7"
"703","取下变速器绕行盘","1","701_3"
"704","取下固定工具","1","701_1"
,,"1",
"705","拆卸下曲轴箱：用中号棘轮扳手、中号接杆和10号套筒拆卸下部曲轴箱周围螺栓1（数量：10）拆卸方法为从两边向中间拆卸","1","702_0_0,702_0_1,702_0_2,702_0_3,702_0_4,702_0_5,702_0_6,702_0_7,702_0_8,702_0_9"
"706","用中号棘轮扳手、中号接杆和10号套筒拆卸下部曲轴箱螺栓2（数量：10），拆卸方法为从两边向中间拆卸","1","702_1_0,702_1_1,702_1_2,702_1_3,702_1_4,702_1_5,702_1_6,702_1_7,702_1_8,702_1_9"
"707","取下下曲轴箱","1","702_2"
,,"1",
"708","拆卸曲轴：拆卸曲轴下轴承，共5个","1","703_2_0,703_2_1,703_2_2,703_2_3,703_2_4"
"709","拆卸曲轴","1","703_1"
"710","拆卸曲轴4个上轴承","1","703_0_0,703_0_1,703_0_2,703_0_3"
"711","拆卸止推垫圈","1","703_0_4"
,,,
,,,
,,,
,,,
"801","安装燃油导轨和喷油器：将燃油喷射器轻轻推入喷射器座中，","2","11_2"
"802","安装螺栓，用中号棘轮扳手、中号接杆和10号套筒按顺序预紧燃油导轨螺栓（数量：8）","2","11_0_0,11_0_1,11_0_2,11_0_3,11_1_0,11_1_1,11_1_2,11_1_3"
"803","用扭力扳手、中号接杆和10号套筒按顺序将燃油导轨螺栓紧固至10±1NM","3","11_0_0,11_0_1,11_0_2,11_0_3,11_1_0,11_1_1,11_1_2,11_1_3"
,,,
"805","安装火花塞：按照气缸顺序，依次安装1至4缸的4个火花塞，用中号棘轮扳手、中号长接杆和16号火花塞拆套筒装预紧火花塞","2","10_2_0,10_2_1,10_2_2,10_2_3"
"806","用中号扭力扳手、中号长接杆和16号火花塞拆套筒紧固火花塞至17±1NM","3","10_2_0,10_2_1,10_2_2,10_2_3"
"807","安装点火线圈：按照气缸顺序，依次安装1至4缸的4个点火线圈","2","10_1_0,10_1_1,10_1_2,10_1_3"
"808","安装点火线圈螺栓，用中号棘轮扳手、中号接杆和10号套筒预紧点火线圈螺栓（数量：4）","2","10_0_0,10_0_1,10_0_2,10_0_3"
"809","用扭力扳手、中号接杆和10号套筒将点火线圈螺栓紧固至10±1NM","3","10_0_0,10_0_1,10_0_2,10_0_3"
,,,
"810","安装真空泵：安装真空泵衬垫","2","9_2"
"811","安装真空泵","2","9_1"
"812","安装固定螺栓：用中号棘轮扳手、中号接杆和10号套筒预紧真空泵固定螺栓（数量：3)","2","9_0_0,9_0_1,9_0_2,9_0_3"
"813","用扭力扳手、中号接杆和10号套筒将真空泵螺栓紧固至标准力矩25±1NM","3","9_0_0,9_0_1,9_0_2,9_0_3"
,,,
"814","安装出水口：更换新的出水口衬垫安装到气缸盖出水口处","2","8_0"
"815","安装出水口总成","2","8_1"
"816","用中号棘轮扳手、中号接杆和10号套筒预紧出水口固定螺栓","2","8_2_0,8_2_1"
"817","用扭力扳手、中号接杆和10号套筒将出水口固定螺栓至标准力矩10±1NM","3","8_2_0,8_2_1"
,,,
"818","安装燃油喷射泵：安装燃油喷喷射泵","2","7_2"
"819","安装螺栓，用中号棘轮扳手、中号接杆和10号套筒以每次1/2圈的方式交替紧固燃油泵喷射泵螺栓，直至到位","2","7_1_0,7_1_1"
"820","用扭力扳手、中号接杆和10号套筒紧固螺栓至标准力矩25±1NM","3","7_1_0,7_1_1"
"821","安装气门挺柱随动导管","2","7_0"
,,,
"845","安装进气歧管衬垫","2","6_2"
"822","安装进气歧管：安装进气歧管至气缸盖上","2","6_1"
"823","安装螺栓，用中号棘轮扳手、中号接杆和10号套筒按顺序预紧进气歧管螺栓（数量：4)","2","6_0_0,6_0_1,6_0_2,6_0_3"
"824","用扭力扳手、中号接杆和10号套筒按对角交叉的方式紧固螺栓至标准力矩10±1NM","3","6_0_0,6_0_1,6_0_2,6_0_3"
,,,
"844","安装节气门体衬垫","2","5_1"
"825","安装节气门体总成至进气歧管上","2","5_2"
"826","安装螺栓，用中号棘轮扳手、中号接杆和10号套筒预紧节气门体总成螺栓（数量：4)","2","5_0_0,5_0_1,5_0_2,5_0_3"
"827","用扭力扳手、中号接杆和10号套筒以对角交叉的方式将螺栓紧固至标准力矩10±1NM","3","5_0_0,5_0_1,5_0_2,5_0_3"
,,,
"828","安装水泵：安装水泵壳体衬垫","2","4_2"
"843","安装水泵总成","2","4_1"
"829","安装螺栓，用中号棘轮扳手、中号接杆和10号套筒预紧水泵总成螺栓（数量：3)","2","4_0_0,4_0_1,4_0_2"
"830","用扭力扳手、中号接杆和10号套筒紧固螺栓至标准力矩25±1NM","3","4_0_0,4_0_1,4_0_2"
,,,
"831","安装发动机机油冷却器：安装发动机机油冷却器衬垫","2","3_3"
"832","安装发动机机油冷却器，","2","3_2"
"833","安装螺栓，用中号棘轮扳手、中号接杆和10号套筒按顺序预紧螺栓（数量：2)","2","3_1_0,3_1_1"
"834","用扭力扳手、中号接杆和10号套筒紧固螺栓至标准力矩10±1NM","3","3_1_0,3_1_1"
,,,
"842","安装涡轮增压器总成隔热罩","2","2_1"
"835","安装涡轮增压器：安装涡轮增压器至气缸盖上","2","2_0"
"836","安装螺母，用中号棘轮扳手、中号接杆和10号套筒预紧涡轮增压器螺母","2","2_2_0,2_2_1,2_2_2,2_2_3"
"837","以对角交叉的方式紧固螺母；扭力扳手、中号接杆和10号套筒紧固螺母至标准力矩25±1NM","3","2_2_0,2_2_1,2_2_2,2_2_3"
,,,
"838","安装机油滤清器：安装机油滤清器,大号棘轮扳手、大号接杆和机油滤清器扳手预固机油滤清器","2","1_1"
"839","用大号扭力扳手、大号接杆和机油滤清器扳手紧固机油滤清器至标准力矩25±1NM","3","1_1"
"840","安装放油螺栓，用大号棘轮扳手、15号套筒预紧油底壳放油塞","2","1_0"
"841","用扭力扳手、15号套筒紧固螺栓至标准力矩25±1NM","3","1_0"
,,,
,,,
"902","安装进气凸轮轴位置执行器至进气凸轮轴；注意事项：执行器的凸起应对准凸轮轴上的槽口才能安装","2","206_2"
"903","以同样的方法，安装排气凸轮轴位置执行器至排气凸轮轴","2","206_1"
"904","安装螺栓，用中号棘轮扳手、中号接杆和12号套筒预紧螺栓（数量：2)","2","206_0_0,206_0_1"
"905","用中号扭力扳手、中号接杆和12号套筒紧固螺栓至20±1NM","3","206_0_0,206_0_1"
,,,
"1101","安装正时链条:安装前确保正时链节点对准凸轮轴执行器正时标记和曲轴链轮正时链节标记","2","205_9"
"1102","安装正时链导板-气缸盖","2","205_0"
"1103","安装螺栓，用中号棘轮扳手、中号接杆和10号套筒预紧螺栓","2","205_1_0,205_1_1"
"1104","用扭力扳手、中号接杆和10号套筒将螺栓紧固至标准力矩10±1NM","3","205_1_0,205_1_1"
"1105","安装正时链导板-排气侧","2","205_8"
"1106","安装螺栓，用中号棘轮扳手、中号接杆和10号套筒预紧螺栓","2","205_7_0,205_7_1"
"1107","用扭力扳手、中号接杆和10号套筒将螺栓紧固至标准力矩15±1NM","3","205_7_0,205_7_1"
"1108","安装正时链导板-进气侧","2","205_6"
"1109","安装螺栓，用中号棘轮扳手、中号接杆和12号套筒预紧螺栓","2","205_5_0"
"1110","用扭力扳手、中号接杆和12号套筒将螺栓紧固至标准力矩15±1NM","3","205_5_0"
"1111","安装发动机前盖：安装发动机前盖","2","204_4"
"1113","安装10号螺栓，用中号棘轮扳手、接杆和10号六角套筒按交错的方式预紧10号螺栓（数量：16)","2","204_2_0,204_2_1,204_2_2,204_2_3,204_2_4,204_2_5,204_2_6,204_2_7,204_2_8,204_2_9,204_2_10,204_2_11,204_2_12,204_2_13,204_2_14,204_2_15"
"1114","安装12号螺栓.用中号棘轮扳手、接杆和12号六角套筒按交错的方式预紧12号螺栓（数量：1)","2","204_0_0"
"1115","用中号扭力扳手、中号接杆和10号套筒按交错的方式将发动机前盖螺栓紧固至标准力矩15±1NM","3","204_2_0,204_2_1,204_2_2,204_2_3,204_2_4,204_2_5,204_2_6,204_2_7,204_2_8,204_2_9,204_2_10,204_2_11,204_2_12,204_2_13,204_2_14,204_2_15"
"1116","用中号扭力扳手、大号接杆和12号套筒将发动机前盖螺栓紧固至标准力矩38±1NM","3","204_0_0"
,,,
"1117","安装曲轴扭转减震器：安装曲轴扭转减震器至曲轴前端","2","203_2"
"1119","用大号棘轮扳手、21号套筒紧固曲轴扭转减震器螺栓","2","203_1"
"1120","用大号扭力扳手、21号套筒紧固螺栓至100±1NM","3","203_1"
,,,
"1124","安装凸轮轴盖","2","201_0"
"1125","用中号棘轮扳手、中号接杆和10号套筒以对角交叉的顺序预紧凸轮轴盖螺栓","2","201_1_0,201_1_1,201_2_0,201_2_1,201_2_2,201_2_3,201_2_4,201_2_5,201_2_6,201_2_7,201_2_8,201_2_9,201_2_10,201_2_11,201_2_12,201_2_13,201_2_14,201_2_15,201_2_16,201_2_17"
"1126","用扭力扳手、中号接杆和10号套筒以对角交叉的顺序将螺栓紧固至标准力矩15±1NM","3","201_1_0,201_1_1,201_2_0,201_2_1,201_2_2,201_2_3,201_2_4,201_2_5,201_2_6,201_2_7,201_2_8,201_2_9,201_2_10,201_2_11,201_2_12,201_2_13,201_2_14,201_2_15,201_2_16,201_2_17"
"1127","安装正时链条张紧器总成、取下正时链条张紧器衬垫","2","205_3,205_4"
"1128","用中号棘轮扳手、中号接杆和10号套筒预紧正时链条张紧器螺栓（数量：2）","2","205_2_0,205_2_1"
"1129","用中号扭力扳手、中号接杆和10号套筒紧固正时链条张紧器螺栓至标准力矩15±1NM","3","205_2_0,205_2_1"
,,,
"1201","安装间隙调节器","2","307_0"
,,,
"1204","安装气门摇臂","2","308_0"
,,,
"1207","安装排气凸轮轴：安装排气凸轮轴到气缸盖上","2","301_5"
"1208","依次安装排气凸轮轴轴承盖至排气凸轮轴上","2","301_4_0,301_4_1,301_4_2,301_4_3,301_4_4"
"1209","安装螺栓：用中号棘轮扳手、中号接杆和10号套筒以每次1/3圈拧紧排气凸轮轴轴承螺栓，直至螺栓就位","2","301_3_0,301_3_1,301_3_2,301_3_3,301_3_4,301_3_5,301_3_6,301_3_7,301_3_8,301_3_9"
"1210","第二次用中号扭力扳手、中号接杆和10号套筒将螺栓紧固至12±1NM","3","301_3_0,301_3_1,301_3_2,301_3_3,301_3_4,301_3_5,301_3_6,301_3_7,301_3_8,301_3_9"
"1211","安装进气凸轮轴：安装进气凸轮轴到气缸盖上","2","301_2"
"1212","依次安装进气凸轮轴轴承盖至排气凸轮轴上","2","301_1_0,301_1_1,301_1_2,301_1_3,301_1_4"
"1213","安装螺栓，次预紧螺栓：用中号棘轮扳手、中号接杆和10号套筒以每次1/3圈拧紧进气凸轮轴轴承螺栓","2","301_0_0,301_0_1,301_0_2,301_0_3,301_0_4,301_0_5,301_0_6,301_0_7,301_0_8,301_0_9"
"1214","第二次用扭力扳手、中号接杆和10号套筒将螺栓紧固至12±1NM","3","301_0_0,301_0_1,301_0_2,301_0_3,301_0_4,301_0_5,301_0_6,301_0_7,301_0_8,301_0_9"
,,,
"1215","安装气缸盖：安装气缸盖垫","2","401_2"
"1216","安装气缸盖，注意事项：将气缸盖定位孔对齐发动机气缸体处定位销","2","401_1"
"1217","安装气缸盖螺栓，用大号棘轮扳手、大号长接杆和M10花角套筒按从中间向两端交叉的顺序预紧气缸盖10颗螺栓","2","401_0_0,401_0_1,401_0_2,401_0_3,401_0_4,401_0_5,401_0_6,401_0_7,401_0_8,401_0_9"
"1218","按顺序紧固新气缸盖螺栓，用大号扭力扳手、大号长接杆和M10花角套筒将螺栓紧固至100±1NM，","3","401_0_0,401_0_1,401_0_2,401_0_3,401_0_4,401_0_5,401_0_6,401_0_7,401_0_8,401_0_9"
,,,
"1301","安装机油导流板，","2","503_1"
"1302","用中号棘轮扳手、中号接杆和10号套筒预紧曲轴机油导流板螺栓（数量：3），","2","503_0_0,503_0_1,503_0_2,503_0_3"
"1303","用中号扭力扳手、中号接杆和10号六角套筒紧固螺栓至10±1NM","3","503_0_0,503_0_1,503_0_2,503_0_3"
"1304","安装机油泵及链条：安装机油泵","2","502_2"
"1305","用中号棘轮扳手、中号接杆和10号套筒安装机油泵总成螺栓（数量：4），","2","502_1_0,502_1_1,502_1_2,502_1_3"
"1306","用扭力扳手、中号接杆和10号套筒紧固至10±1NM。","3","502_1_0,502_1_1,502_1_2,502_1_3"
"1307","安装机油泵传动链条，使链条能正确齿合链轮","2","502_0"
,,,
"1308","安装油底壳：安装上油底壳总成","2","501_5"
"1309","用中号棘轮扳手、中号接杆和10号套筒预紧油底壳螺栓","2","501_2_0,501_2_1,501_3_0,501_3_1,501_4_0,501_4_1,501_4_2,501_4_3,501_4_4,501_4_5,501_4_6,501_4_7,501_4_8"
"1310","用扭力扳手、中号接杆和10号套筒按从中间到两边的顺序分别将螺栓紧固至10±1NM","3","501_2_0,501_2_1,501_3_0,501_3_1,501_4_0,501_4_1,501_4_2,501_4_3,501_4_4,501_4_5,501_4_6,501_4_7,501_4_8"
"1311","安装下油底壳","2","501_1"
"1312","用中号棘轮扳手、中号接杆和10号套筒安装下油底壳螺栓（数量：12）","2","501_0_0,501_0_1,501_0_2,501_0_3,501_0_4,501_0_5,501_0_6,501_0_7,501_0_8,501_0_9,501_0_10,501_0_11"
"1313","用扭力扳手、中号接杆和10号套筒紧固至10±1NM","3","501_0_0,501_0_1,501_0_2,501_0_3,501_0_4,501_0_5,501_0_6,501_0_7,501_0_8,501_0_9,501_0_10,501_0_11"
,,,
"1401","安装2缸和3缸活塞连杆","2","601_0_0,601_0_1"
"1403","安装2缸连杆轴承盖","2","601_1_0"
"1404","用中号棘轮扳手、中号短接杆和12号套筒预紧2缸连杆轴承盖螺栓","2","601_2_0,601_2_1"
"1405","用中号扭力扳手、中号短接杆和12号套筒紧固螺栓至25±1NM","3","601_2_0,601_2_1"
,,,
"1406","安装3缸连杆轴承盖","2","601_1_1"
"1407","用中号棘轮扳手、中号短接杆和12号套筒预紧3缸连杆轴承盖螺栓","2","601_2_2,601_2_3"
"1408","用中号扭力扳手、中号短接杆和12号套筒紧固螺栓至25±1NM","3","601_2_2,601_2_3"
,,,
"1410","转动曲轴一圈，安装1缸和4缸活塞连杆","2","601_0_2,601_0_3"
"1411","安装1缸连杆轴承盖","2","601_1_2"
"1412","用中号棘轮扳手、中号短接杆和12号套筒预紧1缸连杆轴承盖螺栓","2","601_2_4,601_2_5"
"1413","分用中号扭力扳手、中号短接杆和12号套筒紧固螺栓至25±1NM","3","601_2_4,601_2_5"
"1414","安装4缸连杆轴承盖","2","601_1_3"
"1415","用中号棘轮扳手、中号短接杆和12号套筒预紧4缸连杆轴承盖螺栓","2","601_2_6,601_2_7"
"1416","用中号扭力扳手、中号短接杆和12号套筒紧固螺栓至25±1NM","3","601_2_6,601_2_7"
,,,
"1501","安装曲轴：依次安装曲轴4个上轴承4和1个止推垫圈至缸体内","2","703_0_0,703_0_1,703_0_2,703_0_3,703_0_4"
"1502","安装曲轴至缸体上","2","703_1"
"1503","依次安装下轴承到曲轴轴径上.注意事项：安装前应对上、下曲轴轴承、曲轴轴径等转动位置进行充分润滑","2","703_2_0,703_2_1,703_2_2,703_2_3,703_2_4"
,,,
"1504","安装下曲轴箱：安装下曲轴箱和螺栓","2","702_2"
"1505","用中号棘轮扳手、中号接杆和10号套筒预紧下部曲轴箱螺栓2（数量：10）","2","702_1_0,702_1_1,702_1_2,702_1_3,702_1_4,702_1_5,702_1_6,702_1_7,702_1_8,702_1_9"
"1506","用中号扭力扳手、中号接杆和10号套筒从中间向两边对角交叉的方式紧固至15±1NM","3","702_1_0,702_1_1,702_1_2,702_1_3,702_1_4,702_1_5,702_1_6,702_1_7,702_1_8,702_1_9"
"1508","用中号棘轮扳手、中号接杆和10号套筒预紧下部曲轴箱螺栓1","2","702_0_0,702_0_1,702_0_2,702_0_3,702_0_4,702_0_5,702_0_6,702_0_7,702_0_8,702_0_9"
"1509","用中号扭力扳手、中号接杆和10号套筒紧固至25±1NM","3","702_0_0,702_0_1,702_0_2,702_0_3,702_0_4,702_0_5,702_0_6,702_0_7,702_0_8,702_0_9"
,,,
"1510","安装自动变速器绕行盘：用飞轮夹持工具固定住自动变速器绕行盘的齿圈","2","701_3"
"1511","用大号棘轮扳手和M10花型套筒以对角交错的方式预紧螺栓","2","701_2_0,701_2_1,701_2_2,701_2_3,701_2_4,701_2_5,701_2_6,701_2_7"
"1512","用大号扭力扳手、大号接杆和M10花型套筒紧固至120±1NM","3","701_2_0,701_2_1,701_2_2,701_2_3,701_2_4,701_2_5,701_2_6,701_2_7"
